date,strategy,SPY,eligible_equal_weight,eligible_sector_neutral_equal_weight,IWB
2023-12-29,1000000.0,1000000.0,1000000.0,1000000.0,1269784.5298381492
2024-01-02,1000000.0,1000000.0,1000000.0,1000000.0,1261294.8068712146
2024-01-03,1000000.0,1000000.0,1000000.0,1000000.0,1249627.6437295207
2024-01-04,1000000.0,1000000.0,1000000.0,1000000.0,1246301.2610465696
2024-01-05,1000000.0,1000000.0,1000000.0,1000000.0,1248485.7511667167
2024-01-08,1000000.0,1000000.0,1000000.0,1000000.0,1266160.262138815
2024-01-09,1000000.0,1000000.0,1000000.0,1000000.0,1264571.5420514352
2024-01-10,1000000.0,1000000.0,1000000.0,1000000.0,1271273.954920068
2024-01-11,1000000.0,1000000.0,1000000.0,1000000.0,1270132.062357264
2024-01-12,1000000.0,1000000.0,1000000.0,1000000.0,1270628.5373845703
2024-01-16,1000000.0,1000000.0,1000000.0,1000000.0,1265614.1396087783
2024-01-17,1000000.0,1000000.0,1000000.0,1000000.0,1259209.6117565292
2024-01-18,1000000.0,1000000.0,1000000.0,1000000.0,1269685.2348326885
2024-01-19,1000000.0,1000000.0,1000000.0,1000000.0,1284629.133154603
2024-01-22,1000000.0,1000000.0,1000000.0,1000000.0,1289345.6459140112
2024-01-23,1000000.0,1000000.0,1000000.0,1000000.0,1292076.258564195
2024-01-24,1000000.0,1000000.0,1000000.0,1000000.0,1292423.791083309
2024-01-25,1000000.0,1000000.0,1000000.0,1000000.0,1298927.6139410196
2024-01-26,1000000.0,1000000.0,1000000.0,1000000.0,1298629.7289246358
2024-01-29,1000000.0,1000000.0,1000000.0,1000000.0,1309452.8845199093
2024-01-30,1000000.0,1000000.0,1000000.0,1000000.0,1308360.6394598358
2024-01-31,1000000.0,1000000.0,1000000.0,1000000.0,1286763.9757720192
2024-02-01,1000000.0,1000000.0,1000000.0,1000000.0,1302651.1766458154
2024-02-02,1000000.0,1000000.0,1000000.0,1000000.0,1316056.0023830808
2024-02-05,1000000.0,1000000.0,1000000.0,1000000.0,1310098.3020554073
2024-02-06,1000000.0,1000000.0,1000000.0,1000000.0,1314616.2248038934
2024-02-07,1000000.0,1000000.0,1000000.0,1000000.0,1325687.6179128196
2024-02-08,1000000.0,1000000.0,1000000.0,1000000.0,1327971.403038428
2024-02-09,1000000.0,1000000.0,1000000.0,1000000.0,1335517.823453481
2024-02-12,1000000.0,1000000.0,1000000.0,1000000.0,1335219.9384370972
2024-02-13,1000000.0,1000000.0,1000000.0,1000000.0,1315807.7648694278
2024-02-14,1000000.0,1000000.0,1000000.0,1000000.0,1330205.5406613057
2024-02-15,1000000.0,1000000.0,1000000.0,1000000.0,1338645.6161255096
2024-02-16,1000000.0,1000000.0,1000000.0,1000000.0,1331843.9082514157
2024-02-20,1000000.0,1000000.0,1000000.0,1000000.0,1324297.4878363628
2024-02-21,1000000.0,1000000.0,1000000.0,1000000.0,1324595.3728527464
2024-02-22,1000000.0,1000000.0,1000000.0,1000000.0,1351504.3193327386
2024-02-23,1000000.0,1000000.0,1000000.0,1000000.0,1352646.2118955427
2024-02-26,1000000.0,1000000.0,1000000.0,1000000.0,1348227.5841525183
2024-02-27,1000000.0,1000000.0,1000000.0,1000000.0,1351454.6718300078
2024-02-28,1000000.0,1000000.0,1000000.0,1000000.0,1348873.0016880159
2024-02-29,1000000.0,1000000.0,1000000.0,1000000.0,1355327.1770429958
2024-03-01,1000000.0,1000000.0,1000000.0,1000000.0,1366646.8076655753
2024-03-04,1000000.0,1000000.0,1000000.0,1000000.0,1365008.4400754652
2024-03-05,1000000.0,1000000.0,1000000.0,1000000.0,1351007.8443054324
2024-03-06,1000000.0,1000000.0,1000000.0,1000000.0,1358703.2072286773
2024-03-07,1000000.0,1000000.0,1000000.0,1000000.0,1372604.5079932492
2024-03-08,1000000.0,1000000.0,1000000.0,1000000.0,1363816.9000099306
2024-03-11,1000000.0,1000000.0,1000000.0,1000000.0,1362178.5324198203
2024-03-12,1000000.0,1000000.0,1000000.0,1000000.0,1376030.1856816614
2024-03-13,1000000.0,1000000.0,1000000.0,1000000.0,1374193.228080629
2024-03-14,1000000.0,1000000.0,1000000.0,1000000.0,1370519.3128785633
2024-03-15,1000000.0,1000000.0,1000000.0,1000000.0,1361433.8198788613
2024-03-18,1000000.0,1000000.0,1000000.0,1000000.0,1369377.4203157595
2024-03-19,1000000.0,1000000.0,1000000.0,1000000.0,1376576.3082116982
2024-03-20,1000000.0,1000000.0,1000000.0,1000000.0,1390179.723959886
2024-03-21,1000000.0,1000000.0,1000000.0,1000000.0,1395343.0642438699
2024-03-22,1000000.0,1000000.0,1000000.0,1000000.0,1392662.0990964167
2024-03-25,1000000.0,1000000.0,1000000.0,1000000.0,1389037.831397082
2024-03-26,1000000.0,1000000.0,1000000.0,1000000.0,1385562.5062059392
2024-03-27,1000000.0,1000000.0,1000000.0,1000000.0,1397875.0868831312
