signal_date,execution_date,scale,realized_vol,turnover,cost,cash_weight,num_holdings
2015-05-29,2015-06-01,0.8853568833970898,0.11294880276561783,1.233435995018285,0.001233435995018285,0.11464311660291027,3
2015-06-30,2015-07-01,1.0,0.09991665190461956,0.11464311660291021,0.00011464311660291021,0.0,3
2015-07-31,2015-08-03,0.8728722815043064,0.11456429780042986,0.12712771849569354,0.00012712771849569354,0.1271277184956936,3
2015-08-31,2015-09-01,0.613046618705981,0.16311973176049815,1.0772211544063,0.0010772211544063,0.7956511270980063,1
2015-09-30,2015-10-01,0.6655651614127437,0.15024824885325688,0.017506180902254226,1.7506180902254227e-05,0.7781449461957521,1
2015-10-30,2015-11-02,0.7523581854025264,0.1329154144132798,0.5305031315982784,0.0005305031315982785,0.2476418145974737,3
2015-11-30,2015-12-01,1.0,0.04165629160150482,0.7492139381991578,0.0007492139381991579,0.0,3
2015-12-31,2016-01-04,0.9114300713239203,0.10971768778129355,0.3923799524507198,0.00039237995245071985,0.3923799524507199,2
2016-01-29,2016-02-01,0.730248614664934,0.13693966409766328,0.6076200475492801,0.0006076200475492802,1.0,0
2016-02-29,2016-03-01,0.7629030952946292,0.13107824652537362,0.2543010317648764,0.0002543010317648764,0.7456989682351236,1
2016-03-31,2016-04-01,1.0,0.08592453284386739,0.7456989682351236,0.0007456989682351236,0.0,3
2016-04-29,2016-05-02,1.0,0.03136725371474795,1.3333333333333333,0.0013333333333333333,0.0,3
2016-05-31,2016-06-01,1.0,0.05077962707206031,0.6666666666666666,0.0006666666666666666,0.0,3
2016-06-30,2016-07-01,1.0,0.0834030485405693,0.6666666666666666,0.0006666666666666666,0.0,3
2016-07-29,2016-08-01,1.0,0.08966878809179223,0.6666666666666666,0.0006666666666666666,0.0,3
2016-08-31,2016-09-01,1.0,0.09495865821371792,0.0,0.0,0.0,3
2016-09-30,2016-10-03,1.0,0.09607991757114151,0.0,0.0,0.0,3
2016-10-31,2016-11-01,0.9556389141364466,0.10464203426705786,1.3185463047121486,0.0013185463047121486,0.04436108586355347,3
2016-11-30,2016-12-01,0.9240424241342798,0.10822013945267542,1.2636530555145398,0.0012636530555145398,0.07595757586572027,3
2016-12-30,2017-01-03,1.0,0.0948670146731708,0.6919858586219065,0.0006919858586219065,0.0,3
2017-01-31,2017-02-01,1.0,0.08580120883488876,0.0,0.0,0.0,3
2017-02-28,2017-03-01,1.0,0.07887951716727293,0.6666666666666666,0.0006666666666666666,0.0,3
